Date,Holdings
2018-01-03,2448208
2018-01-10,2448209
2018-01-17,2447009
2018-01-24,2447009
2018-01-31,2436211
2018-02-07,2436192
2018-02-14,2436173
2018-02-21,2432066
2018-02-28,2424242
2018-03-07,2424402
2018-03-14,2424562
2018-03-21,2424723
2018-03-28,2424883
2018-04-04,2413031
2018-04-11,2413060
2018-04-18,2413079
2018-04-25,2413218
2018-05-02,2395460
2018-05-09,2395528
2018-05-16,2386966
2018-05-23,2387035
2018-05-30,2387103
2018-06-06,2377872
2018-06-13,2377998
2018-06-20,2378124
2018-06-27,2378250
2018-07-04,2360377
2018-07-11,2360504
2018-07-18,2359766
2018-07-25,2359893
2018-08-01,2336876
2018-08-08,2336925
2018-08-15,2324391
2018-08-22,2324540
2018-08-29,2324589
2018-09-05,2313202
2018-09-12,2313204
2018-09-19,2313206
2018-09-26,2313208
2018-10-03,2294210
2018-10-10,2294227
2018-10-17,2294245
2018-10-24,2294215
2018-10-31,2270399
2018-11-07,2270436
2018-11-14,2270420
2018-11-21,2253085
2018-11-28,2253117
2018-12-05,2240551
2018-12-12,2240606
2018-12-19,2240661
2018-12-26,2240717
2019-01-02,2222517
2019-01-09,2222412
2019-01-16,2220219
2019-01-23,2220115
2019-01-30,2220012
2019-02-06,2205713
2019-02-13,2205604
2019-02-20,2182201
2019-02-27,2182092
2019-03-06,2175420
2019-03-13,2175479
2019-03-20,2175537
2019-03-27,2175596
2019-04-03,2153308
2019-04-10,2153443
2019-04-17,2153409
2019-04-24,2153544
2019-05-01,2123954
2019-05-08,2124129
2019-05-15,2114444
2019-05-22,2114569
2019-05-29,2114744
2019-06-05,2109785
2019-06-12,2109957
2019-06-19,2110084
2019-06-26,2110256
2019-07-03,2095393
2019-07-10,2095448
2019-07-17,2093984
2019-07-24,2094051
2019-07-31,2080700
2019-08-07,2080704
2019-08-14,2080710
2019-08-21,2088920
2019-08-28,2095130
2019-09-04,2095164
2019-09-11,2101169
2019-09-18,2105826
2019-09-25,2107683
2019-10-02,2117130
2019-10-09,2121485
2019-10-16,2123085
2019-10-23,2149188
2019-10-30,2175491
2019-11-06,2194318
2019-11-13,2201529
2019-11-20,2220361
2019-11-27,2248498
2019-12-04,2259853
2019-12-11,2282196
2019-12-18,2300678
2019-12-25,2328862
2020-01-01,2328933
2020-01-08,2347714
2020-01-15,2362635
2020-01-22,2381020
2020-01-29,2409108
2020-02-05,2427880
2020-02-12,2442621
2020-02-19,2451688
2020-02-26,2474060
2020-03-04,2502624
2020-03-11,2523031
2020-03-18,2640771
2020-03-25,2978372
2020-04-01,3340832
2020-04-08,3634386
2020-04-15,3788858
2020-04-22,3909352
2020-04-29,3971419
2020-05-06,4020191
2020-05-13,4057268
2020-05-20,4089331
2020-05-27,4109512
2020-06-03,4134356
2020-06-10,4150409
2020-06-17,4169340
2020-06-24,4197404
2020-07-01,4213220
2020-07-08,4231355
2020-07-15,4253229
2020-07-22,4265878
2020-07-29,4293563
2020-08-05,4305651
2020-08-12,4320093
2020-08-19,4345544
2020-08-26,4358559
2020-09-02,4386637
2020-09-09,4393621
2020-09-16,4407005
2020-09-23,4431523
2020-09-30,4445477
2020-10-07,4469848
2020-10-14,4484978
2020-10-21,4509778
2020-10-28,4527186
2020-11-04,4538087
2020-11-11,4552731
2020-11-18,4584423
2020-11-25,4606580
2020-12-02,4614410
2020-12-09,4630538
2020-12-16,4662841
2020-12-23,4682881
2020-12-30,4688916
2021-01-06,4699421
2021-01-13,4723733
2021-01-20,4743552
2021-01-27,4766107
2021-02-03,4772074
2021-02-10,4798901
2021-02-17,4824057
2021-02-24,4844574
2021-03-03,4867279
2021-03-10,4889007
2021-03-17,4911633
2021-03-24,4921302
2021-03-31,4942277
2021-04-07,4959033
2021-04-14,4973499
2021-04-21,5000306
2021-04-28,5014762
2021-05-05,5040418
2021-05-12,5054395
2021-05-19,5071821
2021-05-26,5087157
2021-06-02,5119023
2021-06-09,5129891
2021-06-16,5153771
2021-06-23,5163445
2021-06-30,5183385
2021-07-07,5201725
2021-07-14,5222570
2021-07-21,5242987
2021-07-28,5263740
2021-08-04,5277635
2021-08-11,5303495
2021-08-18,5323651
2021-08-25,5346372
2021-09-01,5365670
2021-09-08,5372741
2021-09-15,5391872
2021-09-22,5413374
2021-09-29,5431056
2021-10-06,5449277
2021-10-13,5465924
2021-10-20,5499267
2021-10-27,5513329
2021-11-03,5533219
2021-11-10,5552607
2021-11-17,5573525
2021-11-24,5578900
2021-12-01,5592119
2021-12-08,5604169
2021-12-15,5638289
2021-12-22,5649823
2021-12-29,5652272
2022-01-05,5661277
2022-01-12,5684737
2022-01-19,5693341
2022-01-26,5716217
2022-02-02,5728109
2022-02-09,5731864
2022-02-16,5738619
2022-02-23,5741778
2022-03-02,5749106
2022-03-09,5753385
2022-03-16,5758267
2022-03-23,5759149
2022-03-30,5760030
2022-04-06,5761052
2022-04-13,5762054
2022-04-20,5763035
2022-04-27,5764013
2022-05-04,5765229
2022-05-11,5766625
2022-05-18,5768021
2022-05-25,5769417
2022-06-01,5770779
2022-06-08,5771393
2022-06-15,5762730
2022-06-22,5763344
2022-06-29,5763933
2022-07-06,5744344
2022-07-13,5745528
2022-07-20,5733027
2022-07-27,5734180
2022-08-03,5719119
2022-08-10,5720572
2022-08-17,5699175
2022-08-24,5700628
2022-08-31,5694997
2022-09-07,5690760
2022-09-14,5687031
2022-09-21,5673919
2022-09-28,5671848
2022-10-05,5633926
2022-10-12,5629841
2022-10-19,5611953
2022-10-26,5608738
2022-11-02,5574965
2022-11-09,5575232
2022-11-16,5535051
2022-11-23,5535323
2022-11-30,5515984
2022-12-07,5514496
2022-12-14,5513754
2022-12-21,5501030
2022-12-28,5500834
2023-01-04,5457751
2023-01-11,5456426
2023-01-18,5436722
2023-01-25,5435582
2023-02-01,5397388
2023-02-08,5397022
2023-02-15,5364607
2023-02-22,5364291
2023-03-01,5336147
2023-03-08,5335948
2023-03-15,5328927
2023-03-22,5328976
2023-03-29,5329303
2023-04-05,5280287
2023-04-12,5280914
2023-04-19,5265070
2023-04-26,5265728
2023-05-03,5222684
2023-05-10,5223146
2023-05-17,5194610
2023-05-24,5194961
2023-05-31,5164237
2023-06-07,5161822
2023-06-14,5160251
2023-06-21,5145712
2023-06-28,5145080
2023-07-05,5106460
2023-07-12,5104348
2023-07-19,5083036
2023-07-26,5080981
2023-08-02,5048025
2023-08-09,5048370
2023-08-16,5006075
2023-08-23,5006494
2023-08-30,5006839
2023-09-06,4988471
2023-09-13,4982479
2023-09-20,4960735
2023-09-27,4958138
2023-10-04,4930410
2023-10-11,4928507
2023-10-18,4913457
2023-10-25,4912200
2023-11-01,4872601
2023-11-08,4872914
2023-11-15,4842619
2023-11-22,4842936
2023-11-29,4843174
2023-12-06,4812820
2023-12-13,4809734
2023-12-20,4792329
2023-12-27,4790547
2024-01-03,4753330
2024-01-10,4751515
2024-01-17,4724025
2024-01-24,4722302
2024-01-31,4692721
2024-02-07,4692608
2024-02-14,4692495
2024-02-21,4661421
2024-02-28,4661257
2024-03-06,4631706
2024-03-13,4628851
2024-03-20,4620435
2024-03-27,4618082
2024-04-03,4575162
2024-04-10,4575846
2024-04-17,4539133
2024-04-24,4539799
2024-05-01,4517906
2024-05-08,4518691
2024-05-15,4488090
2024-05-22,4488767
2024-05-29,4489444
2024-06-05,4461236
2024-06-12,4461661
2024-06-19,4453071
2024-06-26,4453571
2024-07-03,4437894
2024-07-10,4438095
2024-07-17,4423552
2024-07-24,4423725
2024-07-31,4413615
2024-08-07,4413650
2024-08-14,4413685
2024-08-21,4398736
2024-08-28,4398721
2024-09-04,4388817
2024-09-11,4389017
2024-09-18,4384005
2024-09-25,4384130
2024-10-02,4364382
2024-10-09,4364466
2024-10-16,4357572
2024-10-23,4357656
2024-10-30,4357825
2024-11-06,4339963
2024-11-13,4340060
2024-11-20,4322938
2024-11-27,4323134
2024-12-04,4315545
2024-12-11,4315665
2024-12-18,4308724
2024-12-25,4308893
2025-01-01,4291106
2025-01-08,4291067
